model/parameters,eval/mean_reward,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,rollout/success_rate,time/iterations,eval/seq_prediction_mse,time/time_elapsed,rollout/ep_rew_mean,eval/best_seq_prediction_mse,rollout/ep_len_mean,time/fps,train/std,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/loss,train/clip_fraction,train/value_loss,train/clip_range,train/clip_range_vf
,-199.94717407226562,0.0,1560000,105.8,,,,,,,,,,0.740818202495575,-4.256815433502197,0.35080063343048096,7.073817600000001e-05,-0.0002616503697936423,188,0.002183472,-0.025368548929691315,0.041351318359375,0.03140449576312676,0.16919808000000003,0.2
,,,1572864,,,0.04,48,1.1933314681053162,3687,-238.05247497558594,,289.92,426,,,,,,,,,,,,
,-224.53347778320312,0.0,1580000,258.2,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3330460786819458,7.0115584e-05,-0.00016992176097119227,192,0.0022601937,-0.022638875991106033,0.02825927734375,0.03789116896223277,0.16854272,0.2
,-228.3065643310547,0.0,1600000,290.4,,,,1.1427448630332946,,,,,,,,,,,,,,,,,
,,,1605632,,,0.01,49,1.1167959332466126,3781,-251.4397430419922,,309.17,424,,,,,,,,,,,,
,-215.3547821044922,0.0,1620000,166.3,,,,,,,,,,0.740818202495575,-4.256815433502197,0.34436148405075073,6.9492992e-05,-0.00012544138735393062,196,0.002644051,-0.025822632014751434,0.0362548828125,0.03028692025691271,0.16788736,0.2
,,,1638400,,,0.02,50,1.226377499103546,3833,-245.03997802734375,,294.71,427,,,,,,,,,,,,
,-211.1901397705078,0.0,1640000,167.0,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3616794943809509,6.887040000000001e-05,-0.0006825748205301352,200,0.0032121716,-0.02830350771546364,0.0484771728515625,0.0340968468808569,0.16723200000000002,0.2
,-195.9095001220703,0.1,1660000,163.5,,,,1.1954914152622222,,,,,,,,,,,,,,,,,
,,,1671168,,,0.01,51,1.0748718500137329,3911,-249.12826538085938,,297.79,427,,,,,,,,,,,,
,-208.58560180664062,0.0,1680000,132.0,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3599610924720764,6.824780800000001e-05,-0.00037592165244859643,204,0.0028048218,-0.025387901812791824,0.0404052734375,0.03366182022728026,0.16657664,0.2
,-191.20596313476562,0.0,1700000,96.5,,,,1.1614619731903075,,,,,,,,,,,,,,,,,
,,,1703936,,,0.01,52,1.2001047730445862,3978,-248.0088348388672,,301.68,428,,,,,,,,,,,,
,-223.0023193359375,0.0,1720000,213.8,,,,,,,,,,0.740818202495575,-4.256815433502197,0.38502806425094604,6.7625216e-05,0.00035971979741589166,208,0.002863591,-0.02596813440322876,0.045196533203125,0.031234800349920988,0.16592128,0.2
,,,1736704,,,0.03,53,1.3102658927440642,4034,-241.30389404296875,,279.16,430,,,,,,,,,,,,
,-245.521484375,0.0,1740000,296.5,,,,,,,,,,0.740818202495575,-4.256815433502197,0.32973259687423706,6.700262400000001e-05,-8.00001471361611e-05,212,0.0027377168,-0.021298937499523163,0.0390472412109375,0.03679632022976875,0.16526592,0.2
,-242.6831817626953,0.0,1760000,308.2,,,,1.1373952865600585,,,,,,,,,,,,,,,,,
,,,1769472,,,0.01,54,1.2657560050487517,4131,-252.86326599121094,,296.26,428,,,,,,,,,,,,
,-221.49618530273438,0.0,1780000,225.4,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3326340317726135,6.6380032e-05,-0.000514855270012049,216,0.0023899376,-0.025401130318641663,0.03528594970703125,0.032731093117035925,0.16461056000000002,0.2
,-216.6329803466797,0.0,1800000,180.0,,,,1.2145871818065643,,,,,,,,,,,,,,,,,
,,,1802240,,,0.02,55,1.2489275455474853,4210,-246.35385131835938,,287.07,428,,,,,,,,,,,,
,-232.12451171875,0.0,1820000,243.4,,,,,,,,,,0.740818202495575,-4.256815433502197,0.3348039388656616,6.575744e-05,-7.231146810227074e-05,220,0.0028346586,-0.026104850694537163,0.0327606201171875,0.03678737237351015,0.16395520000000002,0.2
,,,1835008,,,0.01,56,1.0800922393798829,4273,-252.34585571289062,,287.43,429,,,,,,,,,,,,
,-224.04476928710938,0.0,1840000,240.1,,,,,,,,,,0.740818202495575,-4.256815433502197,0.333909809589386,6.5134848e-05,-0.00035353503699298017,224,0.0017841125,-0.028496168553829193,0.0312042236328125,0.03328093950403854,0.16329984,0.2
,-223.5448455810547,0.0,1860000,183.4,,,,1.2644051373004914,,,,,,,,,,,,,,,,,
